"Titre","Numéro de publication","Date de publication","Inventeur(s)","Demandeur(s)","Classification internationale","Classification coopérative des brevets","Numéro de demande","Date de dépôt","Numéro(s) de priorité","BREVETS CITÉS DANS LE RAPPORT DE RECHERCHE","LITTÉRATURE CITÉE DANS LE RAPPORT DE RECHERCHE","BREVETS CITÉS AU COURS DE L`EXAMEN","LITTÉRATURE CITÉE AU COURS DE L`EXAMEN","AUTRES CITATIONS BREVETS","AUTRES CITATIONS DE LITTÉRATURE","BREVETS UTILISÉS AU COURS DE LA PROCÉDURE D`OPPOSITION","LITTÉRATURE UTILISÉE AU COURS DE LA PROCÉDURE D`OPPOSITION","BREVETS CITÉS PAR LE DEMANDEUR","LITTÉRATURE CITÉE PAR LE DEMANDEUR","CITATION DU RAPPORT DE RECHERCHE INTERNATIONALE","CITATION LITTÉRATURE NON-BREVET DU RAPPORT DE RECHERCHE INTERNATIONALE","CITATION DU RAPPORT SUPPLÉMENTAIRE DE RECHERCHE INTERNATIONALE","CITATION LITTÉRATURE NON-BREVET DU RAPPORT SUPPLÉMENTAIRE DE RECHERCHE INTERNATIONALE"
"NANOPARTICLES FOR EXPRESSION OF GENES OF INTEREST AND/OR REGULATION OF SIGNALING PATHWAYS.","MX2022008592 (A)","2022-11-16","APRIKYAN ANDRANIK ANDREW [US]","STEMGENICS INC [US]","A61K31/7105; A61K47/50; A61K47/69; B82Y5/00","A61K47/549; A61K47/62; A61K47/6929; A61K48/0025; A61K48/0041; B82Y5/00; C12N9/1276; C12N15/111; C12N15/1137; C12N15/63; C12N15/87; A61K48/0041; B82Y5/00; C12N2310/14; C12N2310/351; C12N2320/32","MX20220008592","20210108","US202062959790P 20200110; US202062960626P 20200113; WO2021US12820 20210108","","","","","","","","","","","","","",""
"Composition of plant extracts to alleviate the effects of aging by preventing or delaying cellular senescence (Machine-translation by Google Translate, not legally binding)","ES2952437 (A1)","2023-10-31","CATURLA CERNUDA NURIA [ES]","MONTELOEDER S L [ES]","A61K8/97; A61Q19/08","A61K8/97; A61Q19/08; A61Q19/08","ES20220030255","20220323","ES20220030255 20220323","WO2012154949 (A2); US2014106001 (A1); WO2016141315 (A1); CN108904436 (A)","","","","","","","","","","","","",""
"PHYSICAL CHARACTERIZATION OF TELOMERES","AU2021386895 (A1)","2023-06-22","BISHT PRAKHAR;  AVARELLO MARIO DAVIDE MARIA;  ALTUNLU ENGIN;  KULAKOVSKYI ANDRII;  BENSIMON AARON","GENOMIC VISION [FR]","C12Q1/6818; C12Q1/6883","C12N15/1006; C12Q1/6809; C12Q1/6818; C12Q1/6883; C12Q1/6886; G01N33/5091; G16B25/00; C12Q2600/106; C12Q2600/112; C12Q2600/156; C12Q1/6818; C12Q2563/107; C12Q2565/619","AU20210386895","20211123","US202063118314P 20201125; WO2021IB00797 20211123","","","","","","","","","","","","","",""
"TELOMERE EXTENSION AND SUPPORTING REGIMEN FOR PROLONGED HEALTH","WO2023102664 (A1)","2023-06-15","VAN WYNSBERGHE ERINN [CA]","VAN WYNSBERGHE ERINN [CA]","A61K31/7088; A61K31/7105; A61K35/545; A61K38/46; A61P43/00; C12N5/071; C12N15/10; C12N15/113; C12Q1/68","A61K31/7105; A61K35/545; A61P43/00; C12N15/102; A61K48/005; C12N15/113; C12N2310/20","WO2022CA51802","20221209","US202163288432P 20211210","","","","","","","","","","","","XP093073175; XP093073173; XP036664877; XP093073172","",""
"METHODS OF ASSESSING SMOLDERING MULTIPLE MYELOMA","WO2023087105 (A1)","2023-05-25","MAI SABINE [CA];  LOUIS SHERIF [CA];  KNECHT HANS [CA]","TELO GENOMICS HOLDINGS CORP [CA]","C12Q1/6809; C12Q1/6841; G16B15/10; G16B25/00","","WO2022CA51694","20221116","CA20213139296 20211116","","","","","","","","","","","","XP093069375","",""
"TREATMENT OF ALT CANCERS","US2023149507 (A1)","2023-05-18","PICKETT HILDA AMELIA [AU];  AZZALIN CLAUS MARIA [PT];  SOBINOFF ALEXANDER PETER [AU]","INST DE MEDICINA MOLECULAR JOAO LOBO ANTUNES [PT];  CHILDRENS MEDICAL RES INSTITUTE [AU]","A61K31/496; A61K38/17; A61K45/06; A61P35/00; C12N15/113; G01N33/50","A61K31/495; A61K31/496; A61K31/7105; A61K31/713; A61K38/00; A61K38/10; A61K38/16; A61K38/1709; A61K45/00; A61K45/06; A61P35/00; C07K16/18; C12N5/0693; C12N9/1025; C12N15/00; C12N15/113; C12Q1/48; C12Y306/03; G01N33/5011; A61K2039/505; C12N2310/11; C12N2310/14","US202017612547","20200523","AU20190901766 20190524; GB20190007518 20190528; WO2020PT50021 20200523","","","","","","","","","","","","","",""
"Application of EPAS1 activator M1001 in preparation of medicine for preventing or delaying senescence","CN116098896 (A)","2023-05-12","ZHAO BO;  LI KAIQIN","KUNMING INST ZOOLOGY CAS","A61K31/428; A61P39/06","A61K31/428; A61P39/06","CN202210283438","20220322","CN202210283438 20220322","","","","","","","","","","","","","",""
"Software testing method, system and equipment based on genetic algorithm and storage medium","CN115904979 (A)","2023-04-04","OH JI-WOONG;  XU CHUNMEI;  OH HO-TAEK;  GAO WENREN;  YANG MEIJUAN","LINEWELL SOFTWARE CO LTD","G06F3/0484; G06F11/36; G06N3/12; G16B30/00","Y02D10/00","CN202211493073","20221125","CN202211493073 20221125","","","","","","","","","","","","","",""
"A METHOD FOR IDENTIFYING AN INHIBITOR OF ALTERNATIVE LENGTHENING OF TELOMERES","WO2023180459 (A1)","2023-09-28","YUN MAXIMINA HEE [DE]","UNIV DRESDEN TECH [DE]","C12N5/07; C12N9/12; G01N33/50","C12N9/1276; C12Y207/07049; G01N33/5011; G01N33/5088; C12Q1/6841","WO2023EP57502","20230323","EP20220163700 20220323","","","","","","","","","","","","XP055957746; XP055957560; XP037149918; XP055957743; XP055323999; XP019499053","",""
"PEPTIDES AND COMPOSITIONS FOR USE IN COSMETICS, FOOD AND MEDICINE","WO2023180281 (A1)","2023-09-28","GRAU-CAMPISTANY ARIADNA [ES];  PASTOR SILVIA [ES];  CARULLA PATRICIA [ES];  ESCUDERO JUAN CARLOS [ES];  KLEIN MARCO JAN [ES]","LIPOTRUE S L [ES]","A61K8/64; A61P17/00; C07K7/06; A23L33/18; A61K38/00","A61K8/64; A61P17/00; A61Q19/08; C07K7/06; A23L33/18; A61K38/00","WO2023EP57138","20230321","EP20220382267 20220323","","","","","","","","","","XP055959504; XP002341606; XP071777033; XP019562689; XP086276363; XP071777033; XP055143630; XP028563547; XP026471179; XP000610908","US2003113388 (A1); WO03099196 (A2); WO2007101227 (A2); KR20140089295 (A); KR20180027307 (A); WO2019166347 (A1); US2021040152 (A1)","","",""
"Immortalized pilose antler mesenchymal stem cells as well as preparation method and application thereof","CN115820564 (A)","2023-03-21","PENG YINGHUA;  CHEN ZE;  MENG DESHUANG;  PANG XIN","INST SPECIAL ANIMAL & PLANT SCIENCES CAAS","C12N5/10; C12N9/12; C12N15/867","","CN202211609888","20221213","CN202211609888 20221213","CN104774874 (A); CN107384868 (A); CN107937442 (A); CN111826340 (A); CN115386542 (A)","","","","","","","","","","","","",""
"Animal and plant genome T2T assembly method based on high-throughput sequencing","CN115810395 (A); CN115810395 (B)","2023-03-17","SHU ZIQIANG;  JIANG MIAN;  FAN PENGYU;  YANG LULU;  CHEN GANG;  SU XIAOJUN;  TIAN CHAOYANG;  SONG CHI","WUHAN BENA TECH CO LTD","G16B20/00; G16B30/10; G16B30/20","","CN202211549592","20221205","CN202211549592 20221205","CN105121661 (A); CN107250356 (A); CN109326323 (A); CN111584004 (A); CN112996927 (A); CN113151426 (A); CN113767438 (A); CN113808668 (A); CN115148290 (A)","","","","","","","","","","","","",""
"Method for stably amplifying adipose-derived stem cells by regulating telomeres","CN115747151 (A)","2023-03-07","JIN KAIRANG;  TIAN CHENGLEI;  WEI SUFEN;  LIU LIN","UNIV NANKAI","C12N5/0775","","CN202211491800","20221125","CN202211491800 20221125","","","","","","","","","","","","","",""
"A TECHNIQUE FOR IDENTIFYING AND SORTING LIVE, UNLABELED CELLS BY TELOMERE LENGTH","LV15712 (A); LV15712 (B)","2023-02-20","BĒRZIŅŠ ULDIS [LV];  ŅIKUĻŠINS SERGEJS [LV];  SOROKINS HERMANIS [LV];  DEHTJARS JURIJS [LV]","RĪGAS TEHNISKĀ UNIVERSITĀTE [LV]","C12Q1/68; G01N15/02","","LV2022P0000096","20221206","LV2022P0000096 20221206","","","","","","","","","","","","","",""
"Chromosome arm telomere length estimation method and system","CN115691655 (A)","2023-02-03","XIONG YUANYAN;  GUO MENGBIAO","UNIV ZHONGSHAN","G16B5/20; G16B30/00","","CN202211311872","20221025","CN202211311872 20221025","","","","","","","","","","","","","",""
"Ultra-early screening method for panthenic cancer species","CN115678988 (A)","2023-02-03","LIU XIAOCHUAN","LIU XIAOCHUAN","C12Q1/6855; C12Q1/6886","","CN202110830700","20210722","CN202110830700 20210722","","","","","","","","","","","","","",""
"INCREASING TELOMERE LENGTH IN A CELL","MY194907 (A)","2022-12-22","VINCENT C GIAMPAPA [US];  LINDA CROUSE [US]","OPTIGENEX INC [US]","A61K9/70; A61K36/74","A61K9/0053; A61K9/08; A61K9/20; A61K9/48; A61K9/7023; A61K36/74; A61P25/28","MY2018PI01907","20181113","US201715827223 20171130","","","","","","","","","","","","","",""
"METHODS FOR IDENTIFYING CRITICALLY SHORT TELOMERES","WO2022249185 (A1)","2022-12-01","MAOZ NOAM [IL];  DERSHOWITZ YITZCHAK [IL];  MESHI ZAHAV SHIMON [IL];  LAUFER HODAYA [IL]","CENTARIX BIOTECH LTD [IL]","C12Q1/68; C12Q1/6806; C12Q1/6844; C12Q1/686; C12Q1/6883; C12Q1/6886","C12Q1/6883; C12Q1/6886; C12Q2600/156","WO2022IL50558","20220526","US202163193165P 20210526","","","","","","","","","","","US10851417 (B2)","XP004907872; XP002480997","",""
"Methods And Systems For Lengthening Telomeres","US2022354722 (A1)","2022-11-10","NELSON SPENCER JAMES [US]","ETERNAL YOUTH LLC [US]","A61G10/02; A62B31/00; A63B22/02","A61G10/026; A62B31/00; A63B22/02; A63B21/06; A63B22/02; A63B2213/005","US202217716631","20220408","US202163184931P 20210506; US202217716631 20220408","","","","","","","","","","","","","",""
"Composition for Elongating Telomeres","US2022347248 (A1)","2022-11-03","HAYASHI YUKIYASU [JP];  FAIS STEFANO [IT];  LOGOZZI MARIANTONIA [IT]","OSATO INT INC [JP]","A61K36/185; A61P43/00","A23L19/00; A23L19/09; A23L33/105; A61K35/741; A61K36/185; A61P43/00; A61K2236/19","US202017760834","20200916","JP20190171916 20190920; WO2020JP35121 20200916","","","","","","","","","","","","","",""
"Guanine Analogs as Telomerase Substrates and Telomere Length Affectors","US2022306660 (A1)","2022-09-29","GRYAZNOV SERGEI M [US];  PRUZAN RONALD A [US];  PONGRACZ KRISZTINA [US]","GERON CORP [US]","C07D473/18; C07F9/6561","A61P35/00; A61P35/02; A61P35/04; A61P43/00; C07D473/18; C07F9/65616","US202217686726","20220304","US201161579575P 20111222; WO2012US00586 20121221; US201414366218 20140617; US201715419559 20170130; US201816016071 20180622; US202016784825 20200207; US202217686726 20220304","","","","","","","","","","","","","",""
"DNA-FISH METHOD FOR MEASUREMENT OF TELOMERE LENGTH","US2022282318 (A1)","2022-09-08","ZHENG YUN-LING [US]","UNIV GEORGETOWN [US]","C12Q1/6841; G01N21/64; G06T7/00","C12Q1/6841; C12Q1/6886; G01N21/6428; G01N21/6458; G06T7/0012; C12Q1/6816; C12Q1/6837; C12Q2600/156; G01N2021/6439; G06T2207/10056; G06T2207/10064; G06T2207/30072; C12Q1/6841; C12Q2525/151; C12Q2525/204; C12Q2537/165","US202017630424","20200730","US201962882267P 20190802; US202017630424 20200730; WO2020US44171 20200730","","","","","","","","","","","","","",""
"PROBES AND METHODS FOR MEASURING TANDEM REPEATS","US2022195521 (A1)","2022-06-23","FRASCH WAYNE [US];  XIONG FUSHENG [US]","FRASCH WAYNE [US];  XIONG FUSHENG [US];  UNIV ARIZONA STATE [US]","C12Q1/6827; C12Q1/6851; C12Q1/686; C12Q1/6876","C12Q1/6813; C12Q1/6827; C12Q1/6851; C12Q1/686; C12Q1/6876; C12Q2521/319; C12Q2521/501; C12Q2525/151; C12Q2525/307; C12Q2545/114; C12Q1/6813; C12Q2521/319; C12Q2521/501; C12Q2525/151; C12Q2525/307; C12Q2545/114","US202117498643","20211011","US201662316538P 20160331; WO2017US25389 20170331; US201816089887 20180928; US202016886205 20200528; US202117498643 20211011","","","","","","","","","","","","","",""
"Synthetic Lethality Screening Platform for Cells Undergoing ALT","US2022178911 (A1)","2022-06-09","HOCKEMEYER DIRK FRIEDRICH [US];  TURKALO TIMOTHY K [US]","UNIV CALIFORNIA [US]","C12N5/0735; C12N9/22; C12N15/10; C12N15/11; C12N15/90; G01N33/50","C07K14/4702; C07K14/4738; C12N5/0606; C12N9/1276; C12N9/22; C12N15/1093; C12N15/11; C12N15/907; C12Y306/04012; G01N33/5023; G01N33/5073; C12N2310/20; C12N2502/99; C12N2510/00; C12N2510/04; C12N2800/80","US202217681714","20220226","US201962898502P 20190910; WO2020US49616 20200907; US202217681714 20220226","","","","","","","","","","","","","",""
"CYTOTOXIC T LYMPHOCYTES SPECIFIC FOR MUTATED FORMS OF EPIDERMAL GROWTH FACTOR RECEPTOR FOR USE IN TREATING CANCER","US2022175899 (A1)","2022-06-09","NAKAUCHI HIROMITSU [US];  NISHIMURA TOHINOBU [US]","UNIV LELAND STANFORD JUNIOR [US]","A61K39/00; A61P35/00; C12N5/074; C12N5/0783","A61K39/001104; A61K39/001154; A61K39/001164; A61P35/00; C07K14/71; C07K14/82; C12N5/0638; C12N5/0696; A61K2039/5158","US202017601282","20200407","US201962832626P 20190411; US202017601282 20200407; WO2020US27020 20200407","","","","","","","","","","","","","",""
